delta_mass_r2	counts	scans	cluster	precmz	name	delta_mass	delta_MF_final	delta_MF_unique_combination	mass_defect	scaled_counts
224.17	3	21423	22946	386.28644	"Candidate Carnitine (delta mass 224.1739; sirius atomic difference: 11C, 20H, 4N, 1O; literature atomic difference: 14C, 24H, 2O)"	224.1739	C11H20N4O	CHNO	0.000440088	20.2796388
224.22	15	21597	23120	386.328	"Candidate Carnitine (delta mass 224.2155; sirius atomic difference: 14C, 28H, 2N; literature atomic difference: 15C, 28H, 1O)"	224.2155	C14H28N2	CHN	0.000569464	21.9574716
228.01	126	22042	23580	390.12106	"Candidate Carnitine (delta mass 228.0086; literature atomic difference: 9C, 8H, 5O, 1S)"	228.0086	C9H8O5S	CHOS	2.56E-05	37.47742499
228.09	122	22048	23586	390.20001	"Candidate Carnitine (delta mass 228.0875; literature atomic difference: 12C, 1Cl, 17H, 2O)"	228.0875	C12H17ClO2	CHClO	0.000230651	36.91814739
228.1	22	22051	23589	390.21225	"Candidate Carnitine (delta mass 228.0997; literature atomic difference: 12C, 1Cl, 17H, 2O)"	228.0997	C12H17ClO2	CHClO	0.000256271	22.9362074
231.06	147	22178	23779	393.17026	"Candidate Carnitine (delta mass 231.0578; sirius atomic difference: 10C, 9H, 5N, 1S; literature atomic difference: 9C, 13H, 1N, 4O, 1S)"	231.0578	C10H9N5S	CHNS	0.000152606	40.41363239
238.19	177	23465	25136	400.30649	"Candidate Carnitine (delta mass 238.194; sirius atomic difference: 13C, 26H, 2N, 1Si; literature atomic difference: 15C, 26H, 2O)"	238.194	C13H26N2Si	unclassified	0.000474636	44.60821439
238.23	8	23489	25162	400.34464	"Candidate Carnitine (delta mass 238.2321; sirius atomic difference: 14C, 31H, 1B, 1N, -1O, 1P; literature atomic difference: 16C, 30H, 1O)"	238.2321	C14H31BNO-1P	unclassified	0.000574505	20.9787358
245.07	221	24194	25892	407.17776	"Candidate Carnitine (delta mass 245.0653; literature atomic difference: 10C, 15H, 1N, 4O, 1S)"	245.0653	C10H15NO4S	CHNOS	0.000171915	50.76026799
245.08	70	24211	25909	407.18878	"Candidate Carnitine (delta mass 245.0763; literature atomic difference: 10C, 15H, 1N, 4O, 1S)"	245.0763	C10H15NO4S	CHNOS	0.000196469	29.6475386
245.11	489	24214	25913	407.22342	"Candidate Carnitine (delta mass 245.1109; literature atomic difference: 11C, 19H, 1N, 3O, 1S)"	245.1109	C11H19NO3S	CHNOS	0.000270122	88.23186717
250.23	2	24537	26304	412.33838	"Candidate Carnitine (delta mass 250.2259; sirius atomic difference: 19C, 26H, 2N, -2O; literature atomic difference: 17C, 30H, 1O)"	250.2259	C19H26N2O-2	CHNO	0.000557794	20.1398194
252.25	4	24828	26628	414.36166	"Candidate Carnitine (delta mass 252.2492; sirius atomic difference: 13C, 28H, 6N, -1O; literature atomic difference: 17C, 32H, 1O)"	252.2492	C13H28N6O-1	CHNO	0.000603338	20.4194582
262.23	2	25579	27433	424.34302	"Candidate Carnitine (delta mass 262.2305; sirius atomic difference: 13C, 30H, 2N, 3O; literature atomic difference: 18C, 30H, 1O)"	262.2305	C13H30N2O3	CHNO	0.000542014	20.1398194
