precmz_massql	delta_mass_r2_massql	mass_defect_massql
261.16199	99.05	0.00019145205625059435
261.17999	99.07	0.0002680144064635012
261.189	99.08	0.00030629161258704726
261.63141	99.52	-0.0018346421020320302
261.92786	99.82	-0.0006872121201616613
261.99487	99.88	-0.0004580242353600456
262.01001	99.9	-0.00038166480738653576
262.03748	99.92	-0.00030529983725991524
262.04059	99.93	-0.00026713418711197824
262.06024	99.95	-0.00019079582618102293
262.07001	99.96	-0.0001526309706326422
262.09	99.98	-7.630966461900883e-05
262.10001	99.99	-3.815337511816622e-05
262.10999	100.0	0.0
262.1185	100.01	3.815068375564913e-05
262.12927	100.02	7.629823254761294e-05
262.14001	100.03	0.00011444265985951986
262.14752	100.04	0.00015258584174287156
262.16534	100.05	0.0001907193376515643
262.17661	100.06	0.00022885336720160612
262.17987	100.07	0.00026699227518875944
262.20145	100.09	0.0003432475297142842
262.20874	100.1	0.0003813755407237544
263.01617	100.9	-0.0003802047607947235
263.03769	100.93	-0.00026612155847321035
263.06934	100.96	-0.0001520511664339381
263.07999	100.97	-0.00011403375832575156
263.08771	100.98	-7.602027475930374e-05
263.10211	100.99	-3.80080570239635e-05
263.10922	101.0	0.0
263.13159	101.02	7.600759756742253e-05
263.13901	101.03	0.00011400818145512191
263.14996	101.04	0.00015200458324221767
263.16132	101.05	0.0001899975269921779
263.16776	101.06	0.00022799145305641647
263.17755	101.07	0.00026598013394376984
263.23679	101.12	0.0004558633312615784
264.04913	101.94	-0.00022723044003213446
264.08792	101.98	-7.573235458856286e-05
264.1218	102.01	3.786132004251491e-05
264.14255	102.03	0.00011357503741824683
265.07928	102.97	-0.00011317368901862545
265.09018	102.98	-7.544602368898019e-05
265.13913	103.03	0.00011314814226025835
265.1507	103.04	0.00015085760663655144
265.65228	103.54	-0.0017315868698736321
266.10001	103.99	-3.757985578431626e-05
266.12	104.01	3.757703291750006e-05
266.13345	104.02	7.515026765705709e-05
266.1387	104.03	0.00011272317780165432
266.14868	104.04	0.00015029193456832568
266.15826	104.05	0.00018785815627137464
267.11978	105.01	3.743638902369984e-05
267.13336	105.02	7.486897181241617e-05
267.16614	105.05	0.00018714946437447933
