scan	delta_mass_r2	repository
707	42.01	MetaboLights
708	42.01	GNPS/MassIVE
709	42.01	GNPS/MassIVE
710	42.01	GNPS/MassIVE
711	42.01	GNPS/MassIVE
712	42.01	MetaboLights
713	42.01	GNPS/MassIVE
714	42.01	GNPS/MassIVE
715	42.01	GNPS/MassIVE
716	42.01	Metabolomics Workbench
717	42.01	Metabolomics Workbench
718	42.01	GNPS/MassIVE
719	42.01	GNPS/MassIVE
720	42.01	GNPS/MassIVE
721	42.01	GNPS/MassIVE
722	42.01	GNPS/MassIVE
723	42.01	GNPS/MassIVE
724	42.01	GNPS/MassIVE
725	42.01	GNPS/MassIVE
726	42.01	MetaboLights
727	42.01	GNPS/MassIVE
728	42.01	GNPS/MassIVE
729	42.01	GNPS/MassIVE
730	42.01	GNPS/MassIVE
731	42.01	GNPS/MassIVE
732	42.01	GNPS/MassIVE
733	42.01	GNPS/MassIVE
734	42.01	Metabolomics Workbench
735	42.01	MetaboLights
736	42.01	GNPS/MassIVE
737	42.01	GNPS/MassIVE
738	42.01	GNPS/MassIVE
739	42.01	GNPS/MassIVE
740	42.01	GNPS/MassIVE
741	42.01	GNPS/MassIVE
742	42.01	GNPS/MassIVE
743	42.01	GNPS/MassIVE
744	42.01	GNPS/MassIVE
745	42.01	GNPS/MassIVE
746	42.01	GNPS/MassIVE
747	42.01	GNPS/MassIVE
748	42.01	GNPS/MassIVE
749	42.01	GNPS/MassIVE
750	42.01	GNPS/MassIVE
751	42.01	GNPS/MassIVE
752	42.01	GNPS/MassIVE
753	42.01	GNPS/MassIVE
754	42.01	GNPS/MassIVE
755	42.01	GNPS/MassIVE
756	42.01	GNPS/MassIVE
757	42.01	GNPS/MassIVE
758	42.01	GNPS/MassIVE
759	42.01	GNPS/MassIVE
760	42.01	GNPS/MassIVE
761	42.01	GNPS/MassIVE
762	42.01	GNPS/MassIVE
763	42.01	GNPS/MassIVE
764	42.01	GNPS/MassIVE
765	42.01	GNPS/MassIVE
766	42.01	GNPS/MassIVE
767	42.01	GNPS/MassIVE
768	42.01	GNPS/MassIVE
769	42.01	GNPS/MassIVE
770	42.01	GNPS/MassIVE
771	42.01	GNPS/MassIVE
772	42.01	GNPS/MassIVE
773	42.01	GNPS/MassIVE
774	42.01	GNPS/MassIVE
775	42.01	GNPS/MassIVE
776	42.01	GNPS/MassIVE
777	42.01	GNPS/MassIVE
778	42.01	GNPS/MassIVE
779	42.01	GNPS/MassIVE
780	42.01	GNPS/MassIVE
781	42.01	GNPS/MassIVE
782	42.01	GNPS/MassIVE
783	42.01	GNPS/MassIVE
784	42.01	GNPS/MassIVE
785	42.01	GNPS/MassIVE
786	42.01	GNPS/MassIVE
787	42.01	GNPS/MassIVE
788	42.01	GNPS/MassIVE
789	42.01	GNPS/MassIVE
790	42.01	GNPS/MassIVE
791	42.01	GNPS/MassIVE
792	42.01	GNPS/MassIVE
793	42.01	Metabolomics Workbench
794	42.01	GNPS/MassIVE
795	42.01	GNPS/MassIVE
796	42.01	Metabolomics Workbench
797	42.01	MetaboLights
798	42.01	GNPS/MassIVE
799	42.01	GNPS/MassIVE
800	42.01	GNPS/MassIVE
801	42.01	GNPS/MassIVE
802	42.01	GNPS/MassIVE
803	42.01	GNPS/MassIVE
804	42.01	GNPS/MassIVE
805	42.01	GNPS/MassIVE
806	42.01	GNPS/MassIVE
807	42.01	GNPS/MassIVE
808	42.01	GNPS/MassIVE
809	42.01	GNPS/MassIVE
810	42.01	GNPS/MassIVE
811	42.01	GNPS/MassIVE
812	42.01	GNPS/MassIVE
813	42.01	GNPS/MassIVE
814	42.01	GNPS/MassIVE
815	42.01	GNPS/MassIVE
