ATTRIBUTE_antibiotics_YN	filename	MS_1697	MS_15121	MS_18116	MS_1976	MS_19774	MS_23767	MS_22584	MS_21720	MS_24112	MS_25227	MS_19201	MS_25922	MS_24345	MS_27100	MS_25642	MS_26845	MS_20303	MS_21761	MS_23950	MS_25113	MS_20431	MS_21769
No	SS129_RC12_01_7455	149.05258	0.0	309.5491	39.77575	0.0	1431.6073	235.13237	0.0	1819.9573	6309.49	18.084652	367.7359	1401.5347	1918.7108	7568.0444	3592.8235	718.1655	320.79327	328.222	325.3473	6.501287	0.0
No	SS171_RG6_01_7504	128.75092	0.0	192.08183	13.701187	0.0	752.2136	216.0256	2.748703	939.18787	3469.0881	12.74781	361.70343	1233.6809	1304.0322	5316.986	3191.9082	54.09024	124.70043	199.1639	245.89165	5.3095055	5.11467
No	SS137_RD8_01_7464	741.57294	0.0	0.0	14.858042	0.0	1430.781	46.670807	0.0	1580.4664	7737.0674	18.605888	314.84305	1903.3369	2387.3235	2167.8684	5122.8843	110.94079	157.8948	249.87805	428.92773	5.925745	3.7077255
No	SS130_RD1_01_7457	71.277664	0.0	89.13754	7.9678636	0.0	721.51184	102.14494	0.0	904.0308	4449.5	6.8379006	416.59357	1257.7576	1801.5671	5076.9673	3232.582	49.878815	115.168594	134.17076	218.57237	6.9241357	4.186888
No	SS135_RD6_01_7462	243.23842	0.0	35.30815	19.030676	0.0	1309.6132	18.503628	0.0	1274.1593	8580.854	4.2339973	616.69293	2234.3865	2107.2168	10884.369	6802.9204	23.168858	56.627213	226.69672	375.12857	14.112413	0.0
No	SS162_RF9_01_7494	129.17226	0.0	599.6292	12.682542	32.5448	926.73566	540.3926	0.0	1277.3862	3563.7898	85.47588	287.82446	1720.1216	379.44296	5148.3447	2826.4546	806.8887	300.81882	152.45227	148.40369	6.9635267	5.4535513
No	SS136_RD7_01_7463	147.24698	0.0	859.3026	17.657219	112.81739	3312.9104	211.3462	0.0	3541.7869	10028.9	698.50903	567.53906	3866.3318	2307.862	11767.448	6035.7188	1734.1918	888.6799	528.459	399.28537	3.157248	2.9362593
No	SS116_RB11_01_7441	122.49481	0.0	108.300934	46.798244	0.0	1400.8608	50.502235	13.006323	1467.0518	8808.724	5.156728	584.90283	2368.0215	3445.0771	8042.2407	6869.384	43.322655	70.57804	317.196	394.62607	7.2850723	0.0
No	SS144_RE3_01_7472	81.96182	0.0	65.5755	35.84626	97.75605	947.26404	288.91174	0.0	1236.0957	2848.3228	1192.8904	222.33405	1186.3124	3120.9832	4906.6606	2383.5845	2259.5398	748.7566	177.16335	155.03247	3.4953108	3.7475138
No	SS147_RE6_01_7475	11.731464	0.0	1219.9199	0.0	0.0	1299.9999	729.48346	11.539897	1821.4908	3821.5168	105.48957	358.35327	1326.5599	751.43616	4461.607	2709.2156	2988.435	592.1156	316.1547	297.07928	8.387328	4.164857
No	SS153_RE12_01_7484	11.518465	0.0	597.1451	4.305513	0.0	704.4427	312.6535	0.0	1216.1626	2032.8337	47.926647	78.675224	1512.7693	91.12583	3555.136	1099.9811	411.2793	201.77	148.36784	112.506004	4.159095	0.0
No	SS115_RB10_01_7440	125.05667	0.0	257.82098	21.190763	0.0	1432.1677	155.16095	0.0	1674.4862	6196.8735	76.86023	395.70786	2000.711	2551.6655	7768.2715	3742.8586	445.28528	142.37036	230.27719	213.45491	0.0	3.8149738
No	SS163_RF10_01_7495	96.57018	0.0	60.087738	3.8560297	0.0	493.751	37.14841	8.159926	382.8091	2296.0835	8.693874	255.82523	483.11108	1488.6624	2612.953	2895.1262	35.955864	40.864918	83.93155	192.42508	10.63316	5.99117
No	SS146_RE5_01_7474	64.118034	0.0	393.6166	5.465001	0.0	982.1022	203.74362	6.601364	978.68134	2901.9077	40.07058	237.78577	771.0572	1422.5243	2987.9768	2494.8484	253.98204	173.65501	224.94298	253.74068	11.271233	2.6062026
No	SS114_RB9_01_7439	382.1851	0.0	175.54752	30.323124	0.0	986.15497	175.53023	2.5265594	1166.3016	5011.083	36.763256	327.509	1002.8639	3536.97	5795.381	3918.5588	301.76074	80.06497	183.37622	213.69817	0.0	16.53822
No	SS157_RF4_01_7489	22.354534	0.0	32.502182	17.34301	0.0	95.98567	32.878555	0.0	0.0	1007.75006	2.6414084	56.21108	232.79868	1459.3413	1458.7568	1392.2538	3.5820966	0.0	26.248806	79.591446	3.1376038	0.0
No	SS125_RC8_01_7451	0.0	0.0	55.837303	11.924578	0.0	653.1136	46.611256	2.801466	877.39435	6178.238	2.6753883	351.87952	1146.2085	3538.523	7109.9893	4114.1934	12.588591	23.763405	164.8836	236.20164	6.159934	2.7486668
No	SS118_RC1_01_7444	59.457504	0.0	0.0	14.332518	0.0	352.98315	76.419266	0.0	445.0066	3237.8013	0.0	256.96814	623.715	5229.842	2171.4136	2611.3906	22.873812	17.26416	112.9648	144.7124	0.0	0.0
Yes	SS434_RF2_01_7807	3068.0845	0.0	371.322	2935.803	272.23376	1974.5798	693.4261	108.344086	1134.3173	3540.019	1261.5931	237.83723	1487.8629	1460.1503	2771.8975	1467.544	7464.494	277.01062	528.60406	291.05548	5.7394457	0.0
Yes	SS448_RG4_01_7822	1253.6764	0.0	310.8591	5967.4053	290.4284	2423.7046	655.84045	69.72639	1536.587	1351.4614	929.25037	12.722765	677.287	194.5159	369.9812	415.76382	3445.2446	701.47943	176.26254	16.103235	4.243216	3.4826057
Yes	SS436_RF4_01_7809	3135.228	0.0	259.38977	3231.2502	384.23746	3656.3813	295.1036	8.6732235	1901.5897	3984.9163	1085.102	315.46304	1470.3677	1068.3357	3456.7307	2045.4285	292.03668	425.59848	425.73984	247.00613	0.0	2.9043639
Yes	SS451_RG7_01_7825	1637.0541	0.0	181.35757	6738.1733	271.2089	1160.2645	402.10046	0.0	947.41156	1063.3856	1276.1891	23.77652	462.0361	811.12976	636.2064	443.71417	3617.0022	472.11078	36.114292	3.8619213	0.0	0.0
Yes	SS446_RG2_01_7820	1252.5194	0.0	29.933558	4275.96	89.24772	183.081	0.0	0.0	0.0	509.80994	948.0941	2.815888	46.607243	0.0	22.283974	244.18784	4115.6924	51.440704	3.6383152	11.40365	2.958426	0.0
Yes	SS443_RF11_01_7816	1115.5619	0.0	154.09406	2300.8833	132.67516	3961.2395	391.67197	8.339201	2792.7598	6663.2617	1751.2639	414.4636	2091.522	118.38331	4785.7476	5101.637	7904.111	1257.8251	323.39572	203.5166	13.140364	8.396185
Yes	SS441_RF9_01_7814	1108.5645	0.0	490.49863	3395.8555	1049.059	16498.115	1129.5502	2.561516	10156.81	17699.719	1688.6414	851.6673	9560.534	242.04774	17167.066	7301.2437	7367.834	1833.6986	928.8448	348.76395	5.5089765	23.391151
Yes	SS435_RF3_01_7808	3168.091	0.0	337.68402	5206.5273	498.14807	4937.5063	880.64453	7.8991833	2544.9817	3364.091	1108.9243	104.552826	1072.9993	591.319	1188.2012	1522.4229	7437.082	800.15295	482.7285	111.47318	2.832716	14.952202
Yes	SS445_RG1_01_7819	1933.8065	0.0	78.10173	4018.327	372.41925	2990.1091	605.8393	47.274796	1946.48	2643.0696	1400.2001	105.626564	1243.6428	246.90056	2036.5212	615.3067	4695.303	894.5146	353.6922	50.46843	4.0200577	3.499237
Yes	SS450_RG6_01_7824	7442.4453	0.0	159.68092	10938.257	118.99585	538.48413	74.77868	0.0	0.0	499.55014	1081.5	0.0	278.30838	73.33728	281.05197	135.20627	3876.9182	228.14987	8.142193	2.7520041	3.1178942	2.863759
Yes	SS447_RG3_01_7821	2768.331	0.0	232.61224	4379.444	78.925514	1009.47656	277.50107	0.0	640.5748	632.77747	805.4693	6.8514557	311.3669	255.06879	619.1025	41.60995	1133.6825	137.20435	95.69211	3.3878253	0.0	0.0
