putative explanation	delta_mass_r2	precmz	mass_defect	counts
CAR C17:1;O	266.225	428.337405	0.0005252868247389297	45
CAR C17:1;O2	282.21500000000003	444.328495	0.00048387612463856536	616
CAR C17:2	248.21	410.32556	0.0005117887367289719	253
CAR C17:2;O	264.21	426.32001	0.0004925877159741564	203
CAR C17:2;O2	280.2	442.31631	0.0004521651032944922	368
CAR C17:3	246.2	408.31079	0.0004898229605932986	49
CAR C17:3;O	262.19	424.30627	0.0004477897533779026	10
CAR C17:4	244.18	406.29572	0.00044302706412956263	10
CAR C17:4;O2	276.175	438.287965	0.0003992808168355943	1310
CAR C17:5;O	258.16	420.27472	0.00038070336469446704	10
CAR C17:5;O2	274.16	436.26962	0.0003667456835523524	2
CAR C17:6	240.15	402.26431	0.0003728891583745167	4
CAR C18:0	266.265	428.375	0.0006186167299118931	19087
CAR C18:0;O	282.255	444.36578499999996	0.000573851415761168	4590
CAR C18:0;O2	298.25	460.36215	0.0005430507264769704	64
CAR C18:0;O3	314.25	476.35922	0.000524814025852171	308
CAR C18:1	264.245	426.357485	0.0005746351503098592	27002
CAR C18:1;O	280.235	442.349245	0.0005312543681240906	10748
CAR C18:1;O2	296.235	458.34770000000003	0.0005127111837128911	1543
CAR C18:1;O3	312.23	474.3428	0.00048488139801008506	22
CAR C18:1;O4	328.22	490.33725	0.00044867078730002116	4
CAR C18:2	262.225	424.3423	0.0005302321738250746	21672
CAR C18:2;O	278.225	440.33754	0.0005109716140436729	4812
CAR C18:2;O2	294.22	456.33139	0.0004821057784344559	5070
CAR C18:2;O3	310.21500000000003	472.326995	0.00045519308762734234	268
CAR C18:3	260.21500000000003	422.326675	0.0005090845527238524	4586
CAR C18:3;O	276.21	438.32047	0.00047910151218805624	571
CAR C18:3;O2	292.205	454.31715499999996	0.00045122661386470586	399
CAR C18:3;O3	308.2	470.31085	0.0004252506613444887	2
CAR C18:4	258.2	420.31088	0.0004758382652383127	1296
CAR C18:4;O	274.19	436.30667	0.00043547351682704673	114
CAR C18:4;O2	290.19	452.30099	0.0004200742518825743	31
CAR C18:4;O3	306.18	468.29562	0.0003843725892631813	15
